Name,Team,Name,Season,Age,K/9,BB/9,HR/9,xFIP,xFIP-,SIERA,K-BB%,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jhoan Duran","MIN","Jhoan Duran",2022,25,11.669078562640182,2.7341774037985362,0.781193543942439,2.5027057623244935,60.371698698759566,2.3954181006800184,0.24432577,127.98617125512772,95.21287884673932,121.65830360596689,"Jhoan Duran",21029,661395
"Pete Fairbanks","- - -","Pete Fairbanks",2019,27,11.98536696879382,3.731707664276464,0.7463415328552928,3.2474971538038475,75.89418784476945,3.1597522525958803,0.21835076,132.07787155499224,89.00430003617217,120.6633864267864,"Pete Fairbanks",17998,664126
"Ryan Thompson","- - -","Ryan Thompson",2020,30,7.740001550102544,2.295000459623429,0.8550001712322578,3.626978863361197,87.14818301239266,3.457317817418807,0.14720195,121.00674983155984,103.24896780203873,120.5971366358631,"Ryan Thompson",16647,657044
"Blake Treinen","- - -","Blake Treinen",2015,31,9.559120063384228,3.44489043793658,0.6853708724690578,3.3891994722941146,80.05446780109901,3.372319730129384,0.16593245,119.05099696466725,106.11363888309934,120.08173919739646,"Blake Treinen",12572,595014
"Andrés Muñoz","- - -","Andrés Muñoz",2019,23,12.380712102081013,3.4720816227238265,0.6852792676428605,2.8166339615846576,67.28847491320857,2.7160695653434725,0.24621212,125.90721063835161,97.3147134884757,119.51789588611743,"Andres Munoz",20373,662253
"Gregory Santos","- - -","Gregory Santos",2021,23,8.735295832776204,2.609244209790295,0.567227002128325,3.512700171145716,82.72411646497987,3.4507834972460802,0.15428572,111.99366920615914,107.7806083745255,118.7512995015875,"Gregory Santos",21894,666619
"Orion Kerkering","PHI","Orion Kerkering",2023,23,10.909092170148002,2.5909093904101503,0.27272730425370006,2.8669950404320286,70.91875623312691,2.6851690847527045,0.22509225,120.40864425390383,102.18840344601777,118.11868017262097,"Orion Kerkering",31776,689147
"Ryan Helsley","STL","Ryan Helsley",2019,27,10.718080229687446,3.652339441326614,0.7509482963475281,3.7390444030547676,88.76057714572526,3.3969357136553477,0.19491525,122.9034877263542,95.23860633257287,117.90043490963116,"Ryan Helsley",18138,664854
"Corbin Burnes","- - -","Corbin Burnes",2018,26,10.467355646611582,2.5296939431392405,0.966064222379946,3.179098728609145,75.63059225123725,3.3353575601064,0.21841601,117.12599486235844,100.8928042836569,117.85363742107758,"Corbin Burnes",19361,669203
"Trevor Rosenthal","- - -","Trevor Rosenthal",2015,28,12.419082711299128,4.967633084519651,0.5059626289788534,3.52207266698952,84.57793720305222,3.4005345800057354,0.18793504,120.9004096324976,99.04916957894076,117.75706759859435,"Trevor Rosenthal",10745,572096
"Gerrit Cole","- - -","Gerrit Cole",2015,29,10.665423829917298,2.2888539962862753,1.054356354770761,3.235680299426971,77.08411650514017,3.271749505107702,0.2317842,114.62807740772669,103.8170043827161,117.74380076360524,"Gerrit Cole",13125,543037
"José Alvarado","- - -","José Alvarado",2017,25,11.488805677153238,4.942552556761576,0.5783838098338014,3.4761452472858068,81.97560318721469,3.5958052901213193,0.16915761,123.42363003081691,93.34653371626439,117.61734151307971,"Jose Alvarado",17780,621237
"Josh Hader","- - -","Josh Hader",2017,27,14.743293515255653,3.5634520846965856,1.1160262023500296,2.798094704217401,65.87304693779288,2.287437820429119,0.3149476,115.14148908153484,101.3676545264453,117.47298235688639,"Josh Hader",14212,623352
