"last_name, first_name","player_id","year","player_age"
"Trevino, Jose",624431,2024,31
"Alvarez, Francisco",682626,2024,22
"Murphy, Sean",669221,2024,29
"Tucker, Cole",657061,2024,27
"Perkins, Blake",663368,2024,27
"Urías, Luis",649966,2024,27
"Marte, Ketel",606466,2024,30
"Carter, Evan",694497,2024,21
"Rendon, Anthony",543685,2024,34
"Mountcastle, Ryan",663624,2024,27
"Bruján, Vidal",660644,2024,26
"Judge, Aaron",592450,2024,32
"Vierling, Matt",663837,2024,27
"Nido, Tomás",621512,2024,30
"Carpenter, Kerry",681481,2024,26
"Conforto, Michael",624424,2024,31
"Ozuna, Marcell",542303,2024,33
"Flores, Wilmer",527038,2024,32
"Wade, Tyler",642180,2024,29
"Wood, James",695578,2024,21
"DeJong, Paul",657557,2024,30
"Siani, Michael",672279,2024,24
"Outman, James",681546,2024,27
"Arenado, Nolan",571448,2024,33
"Johnson, Bryce",669369,2024,28
"Amaya, Miguel",665804,2024,25
"Taylor, Michael A.",572191,2024,33
"Blanco, Dairon",680118,2024,31
"Gonzales, Nick",693304,2024,25
"Perdomo, Geraldo",672695,2024,24
"Cooper, Garrett",643265,2024,33
"Suzuki, Seiya",673548,2024,29
"Kiermaier, Kevin",595281,2024,34
"Tauchman, Mike",643565,2024,33
"Velázquez, Nelson",676369,2024,25
"Rogers, Jake",668670,2024,29
"Fitzgerald, Tyler",666149,2024,26
"Devers, Rafael",646240,2024,27
"Moreno, Gabriel",672515,2024,24
"Stewart, DJ",621466,2024,30
"Siri, Jose",642350,2024,28
"Ruiz, Keibert",660688,2024,25
"Mendick, Danny",664901,2024,30
"Shewmake, Braden",669699,2024,26
"Vogelbach, Daniel",596129,2024,31
"Taylor, Chris",621035,2024,33
"Polanco, Jorge",593871,2024,30
"Edwards, Xavier",669364,2024,24
"Sánchez, Gary",596142,2024,31
"García, Avisaíl",541645,2024,33
"Davis, Henry",680779,2024,24
"Winn, Masyn",691026,2024,22
"Witt Jr., Bobby",677951,2024,24
"Chaparro, Andrés",665953,2024,25
"Lindor, Francisco",596019,2024,30
"Friedl Jr., TJ",670770,2024,28
"Adames, Willy",642715,2024,28
"Loftin, Nick",679845,2024,25
"Ramos, Heliot",671218,2024,24
"McCann, James",543510,2024,34
"Calhoun, Willie",641432,2024,29
"Duran, Ezequiel",677649,2024,25
"Wade Jr., LaMonte",664774,2024,30
"Peña, Jeremy",665161,2024,26
"Neto, Zach",687263,2024,23
"Jeffers, Ryan",680777,2024,27
"Rivera, Emmanuel",656896,2024,28
"Thaiss, Matt",642136,2024,29
"Grisham, Trent",663757,2024,27
"Rojas, Johan",679032,2024,23
"Urshela, Gio",570482,2024,32
"Blackmon, Charlie",453568,2024,37
"McCarthy, Jake",664983,2024,26
"Henderson, Gunnar",683002,2024,23
"Marsh, Brandon",669016,2024,26
"Dalbec, Bobby",666915,2024,29
"Kiner-Falefa, Isiah",643396,2024,29
"Perez, Salvador",521692,2024,34
"DeLoach, Zach",676113,2024,25
"Wagner, Will",695238,2024,25
"Ohtani, Shohei",660271,2024,29
"Robinson, Chuckie",642020,2024,29
"Stallings, Jacob",607732,2024,34
"Lee, Brooks",686797,2024,23
"Bailey, Patrick",672275,2024,25
"Keith, Colt",690993,2024,22
"Lowe, Josh",666139,2024,26
"Cabbage, Trey",663550,2024,27
"Crews, Dylan",686611,2024,22
"Jansen, Danny",643376,2024,29
"Bouchard, Sean",656248,2024,28
"Bregman, Alex",608324,2024,30
"Clement, Ernie",676391,2024,28
"Volpe, Anthony",683011,2024,23
"Marchán, Rafael",665561,2024,25
"Stubbs, Garrett",596117,2024,31
"Soler, Jorge",624585,2024,32
"Del Castillo, Adrian",680728,2024,24
"Moore, Dylan",664238,2024,31
"Pérez, Wenceel",672761,2024,24
"Caratini, Victor",605170,2024,30
"Arcia, Orlando",606115,2024,29
"Thomas, Lane",657041,2024,28
"Malloy, Justyn-Henry",669234,2024,24
"O'Hoppe, Logan",681351,2024,24
"Hoskins, Rhys",656555,2024,31
"Acuña Jr., Ronald",660670,2024,26
"De La Cruz, Bryan",650559,2024,27
"Duvall, Adam",594807,2024,35
"Rafaela, Ceddanne",678882,2024,23
"Suárez, Eugenio",553993,2024,32
"Crawford, J.P.",641487,2024,29
"Walsh, Jared",665120,2024,30
"Hinds, Rece",677956,2024,23
"Hamilton, David",666152,2024,26
"Williams, Luke",663897,2024,27
"Chisholm Jr., Jazz",665862,2024,26
"Bride, Jonah",681146,2024,28
"Hays, Austin",669720,2024,28
"McCormick, Chas",676801,2024,29
"Bogaerts, Xander",593428,2024,31
"Díaz, Yandy",650490,2024,32
"Kreidler, Ryan",668952,2024,26
"Sosa, Lenyn",672820,2024,24
"Encarnacion, Jerar",666464,2024,26
"Stefanic, Michael",683021,2024,28
"Paredes, Isaac",670623,2024,25
"Aranda, Jonathan",666018,2024,26
"Schuemann, Max",680474,2024,27
"Bohm, Alec",664761,2024,27
"Madris, Bligh",676632,2024,28
"Springer III, George",543807,2024,34
"Tucker, Kyle",663656,2024,27
"Bauers, Jake",641343,2024,28
"Guerrero Jr., Vladimir",665489,2024,25
"Hurtubise, Jacob",674441,2024,26
"Pache, Cristian",665506,2024,25
"Turner, Trea",607208,2024,31
"Vargas, Ildemaro",545121,2024,32
"McGuire, Reese",624512,2024,29
"Soderstrom, Tyler",691016,2024,22
"Sánchez, Jesús",660821,2024,26
"Olivares, Edward",658668,2024,28
"Campusano, Luis",669134,2024,25
"Dingler, Dillon",693307,2024,25
"Báez, Javier",595879,2024,31
"Freeman, Freddie",518692,2024,34
"Abreu, José",547989,2024,37
"Martini, Nick",605361,2024,34
"Soto, Juan",665742,2024,25
"Rojas, Josh",668942,2024,30
"Trout, Mike",545361,2024,32
"Holliday, Jackson",702616,2024,20
"Chapman, Matt",656305,2024,31
"Wells, Austin",669224,2024,24
"Clemens, Kody",665019,2024,28
"Pham, Tommy",502054,2024,36
"Giménez, Andrés",665926,2024,25
"McNeil, Jeff",643446,2024,32
"Bliss, Ryan",669208,2024,24
"Newman, Kevin",621028,2024,30
"Call, Alex",669743,2024,29
"Mullins II, Cedric",656775,2024,29
"Diaz, Yainer",673237,2024,25
"Fairchild, Stuart",656413,2024,28
"Loperfido, Joey",694388,2024,25
"Arraez, Luis",650333,2024,27
"Matos, Luis",682641,2024,22
"McCoy, Mason",669200,2024,29
"Pederson, Joc",592626,2024,32
"Martin, Austin",668885,2024,25
"Stott, Bryson",681082,2024,26
"Baty, Brett",683146,2024,24
"Jackson, Alex",656577,2024,28
"Sosa, Edmundo",624641,2024,28
"Kelenic, Jarred",672284,2024,24
"Hilliard, Sam",656541,2024,30
"Lewis, Royce",668904,2024,25
"Raleigh, Cal",663728,2024,27
"Moniak, Mickey",666160,2024,26
"Biggio, Cavan",624415,2024,29
"Goodman, Hunter",696100,2024,24
"Myers, Dane",667472,2024,28
"Torres, Gleyber",650402,2024,27
"Norby, Connor",681393,2024,24
"India, Jonathan",663697,2024,27
"Toglia, Michael",669911,2024,25
"Suwinski, Jack",669261,2024,25
"Brown, Seth",664913,2024,31
"Story, Trevor",596115,2024,31
"Margot, Manuel",622534,2024,29
"Ruiz, Esteury",665923,2024,25
"Cabrera, Oswaldo",665828,2024,25
"Massey, Michael",686681,2024,26
"McKinstry, Zach",656716,2024,29
"Hayes, Ke'Bryan",663647,2024,27
"Rivas, Leo",660844,2024,26
"Bader, Harrison",664056,2024,30
"Gorman, Nolan",669357,2024,24
"Kim, Ha-Seong",673490,2024,28
"Hernández, Enrique",571771,2024,32
"Walker, Jordan",691023,2024,22
"DeLuca, Jonny",676356,2024,25
"Valdez, Enmanuel",665839,2024,25
"Laureano, Ramón",657656,2024,29
"Langford, Wyatt",694671,2024,22
"Benintendi, Andrew",643217,2024,29
"Senzel, Nick",669222,2024,29
"Swanson, Dansby",621020,2024,30
"Stanton, Giancarlo",519317,2024,34
"Burleson, Alec",676475,2024,25
"Yelich, Christian",592885,2024,32
