"last_name, first_name","player_id","year","player_age"
"Cortes Jr., Nestor",641482,2024,29
"Soroka, Michael",647336,2024,26
"Berroa, Prelander",672860,2024,24
"Lazar, Max",676661,2024,25
"Peralta, Freddy",642547,2024,28
"Lynn, Lance",458681,2024,37
"Poteet, Cody",547001,2024,29
"Harris, Hogan",663687,2024,27
"Nicolas, Kyle",693312,2024,25
"Swanson, Erik",657024,2024,30
"Holmes, Grant",656550,2024,28
"Avila, Nick",687014,2024,26
"Vines, Darius",670241,2024,26
"Rogers, Taylor",573124,2024,33
"Miller, Tyson",668338,2024,28
"Fleming, Josh",676596,2024,28
"Snider, Collin",676092,2024,28
"Brown, Ben",676962,2024,24
"Hjelle, Sean",663546,2024,27
"Henriquez, Ronny",678692,2024,24
"Povich, Cade",700249,2024,24
"Blalock, Bradley",687134,2024,23
"Payamps, Joel",606303,2024,30
"Strickland, Hunter",519326,2024,35
"Cobb, Alex",502171,2024,36
"Montero, Keider",672456,2024,23
"Dana, Caden",702674,2024,20
"Vieira, Thyago",600986,2024,31
"Zeferjahn, Ryan",666171,2024,26
"Diaz, Yilber",700270,2024,23
"Chirinos, Yonny",630023,2024,30
"Germán, Domingo",593334,2024,31
"Kelly, Michael",547184,2024,31
"Honeywell Jr., Brent",641703,2024,29
"Burke, Brock",656271,2024,27
"Adam, Jason",592094,2024,32
"Pop, Zach",647315,2024,27
"Taillon, Jameson",592791,2024,32
"Bednar, David",670280,2024,29
"Lorenzen, Michael",547179,2024,32
"Barlow, Scott",605130,2024,31
"Weathers, Ryan",677960,2024,24
"Greene, Hunter",668881,2024,24
"Anderson, Nick",623433,2024,33
"Darvish, Yu",506433,2024,37
"De Los Santos, Enyel",660853,2024,28
"Harvey, Hunter",640451,2024,29
"López, Jorge",605347,2024,31
"Hodge, Porter",687863,2024,23
"Keuchel, Dallas",572971,2024,36
"Festa, David",701581,2024,24
"Armstrong, Shawn",542888,2024,33
"Latz, Jacob",656641,2024,28
"Strahm, Matt",621381,2024,32
"Borucki, Ryan",621366,2024,30
"González, Victor",624647,2024,28
"Mercado, Michael",675650,2024,25
"Gómez, Yoendrys",672782,2024,24
"Hoeing, Bryan",663773,2024,27
"Stripling, Ross",548389,2024,34
"Garabito, Gerson",642520,2024,28
"Mize, Casey",663554,2024,27
"Johnson, Pierce",572955,2024,33
"Molina, Anthony",683627,2024,22
"Saucedo, Tayler",642048,2024,31
"Morejon, Adrian",670970,2024,25
"Kelly, Kevin",687330,2024,26
"Megill, Trevor",656730,2024,30
"Thielbar, Caleb",573204,2024,37
"Cecconi, Slade",677944,2024,25
"Baz, Shane",669358,2024,25
"Hernández, Daysbel",678226,2024,27
"López, Reynaldo",625643,2024,30
"Miller, Mason",695243,2024,25
"Quintana, Jose",500779,2024,35
"Bloss Jr., Jake",814005,2024,23
"Nola, Aaron",605400,2024,31
"Ramirez, Emmanuel",642629,2024,29
"Lugo, Seth",607625,2024,34
"Finnegan, Kyle",640448,2024,32
"Reid-Foley, Sean",656887,2024,28
"Pinto, Ricardo",620982,2024,30
"Law, Derek",571882,2024,33
"Verlander, Justin",434378,2024,41
"Sborz, Josh",622250,2024,30
"Waldron, Matt",663362,2024,27
"Hamilton, Ian",641656,2024,29
"Shuster, Jared",694363,2024,25
"Sánchez, Cristopher",650911,2024,27
"Veneziano, Anthony",685107,2024,26
"Lynch IV, Daniel",663738,2024,27
"Weaver, Luke",596133,2024,30
"Salazar, Eduardo",674285,2024,26
"Wilson, Steven",621051,2024,29
"Zuñiga, Guillo",670871,2024,25
"Milner, Hoby",571948,2024,33
"Coulombe, Danny",543056,2024,34
"Chargois, JT",608638,2024,33
"Mushinski, Parker",656786,2024,28
"Ashby, Aaron",676879,2024,26
"Cisnero, José",542585,2024,35
"Teng, Kai-Wei",678906,2024,25
"Williams, Devin",642207,2024,29
"Garrett, Reed",657585,2024,31
"Gasser, Robert",688107,2024,25
"Quantrill, Cal",615698,2024,29
"Romano, Jordan",605447,2024,31
"Rea, Colin",607067,2024,33
"Leiter Jr., Mark",643410,2024,33
"Brewer, Colten",605155,2024,31
"López, Pablo",641154,2024,28
"Roycroft, Chris",688297,2024,27
"Gonzales, Marco",594835,2024,32
"McCaughan, Darren",670766,2024,28
"Fedde, Erick",607200,2024,31
"Brazobán, Huascar",623211,2024,34
"Phillips, Tyler",663969,2024,26
"Duran, Jhoan",661395,2024,26
"Lee, Dylan",669276,2024,29
"Turnbull, Spencer",605513,2024,31
"Marte, José",665896,2024,28
"McArthur, James",663704,2024,27
"Ramirez, Nick",598286,2024,34
"Walston, Blake",686796,2024,23
"Jefferies, Daulton",641726,2024,28
"Nastrini, Nick",680897,2024,24
"Lively, Ben",594902,2024,32
"Aldegheri, Sam",691951,2024,22
"Winckowski, Josh",670174,2024,26
"Jones, Jared",683003,2024,22
"Rasmussen, Drew",656876,2024,28
"Soriano, José",667755,2024,25
"Garcia, Robert",676395,2024,28
"Doval, Camilo",666808,2024,26
"Spiers, Carson",686730,2024,26
"Iglesias, Raisel",628452,2024,34
"McKenzie, Triston",663474,2024,26
"Muñoz, Roddery",682610,2024,24
"Ortiz, Luis",682847,2024,25
"Burr, Ryan",621114,2024,30
"Brasier, Ryan",518489,2024,36
"Lawrence, Justin",664875,2024,29
"Ferguson, Caleb",657571,2024,27
